gender,first_generation,underrepresented,avg_sleep_hours,daytime_sleep_minutes,sleep_midpoint_minutes,bedtime_variability,nights_tracked_fraction,prior_gpa,term_gpa
Female,1.0,0.0,7.25,16.8,394.2,0.0608,1.0,3.775,3.92
Female,0.0,0.0,7.03,29.3,355.7,0.041,1.0,3.865,3.87
Female,0.0,0.0,7.24,26.0,322.6,0.0291,0.857,3.458,3.29
Female,0.0,0.0,6.5,43.9,335.1,0.0483,0.857,3.293,3.76
Male,0.0,0.0,6.4,17.4,323.3,0.0531,1.0,2.92,3.52
Male,0.0,0.0,7.0,26.5,393.1,0.1235,0.964,3.335,3.63
Male,1.0,1.0,6.9,44.0,432.2,0.121,0.964,3.048,3.67
Female,0.0,0.0,6.77,23.6,464.8,0.4758,0.857,2.958,2.8
Female,0.0,0.0,7.67,34.8,424.8,0.0978,0.821,2.625,3.0
Female,1.0,0.0,5.89,36.1,413.7,0.1567,1.0,3.011,3.39
Female,1.0,0.0,5.83,98.0,346.1,0.1238,1.0,3.836,3.85
Female,0.0,0.0,6.91,44.0,386.0,0.016,0.821,3.05,3.25
Female,0.0,0.0,5.95,31.8,412.2,0.0757,1.0,2.822,2.68
Male,1.0,1.0,6.86,37.9,445.2,0.0895,1.0,3.455,2.97
Female,0.0,0.0,6.88,13.3,356.1,0.2172,0.929,3.696,3.84
Female,0.0,0.0,8.09,28.6,330.1,0.052,0.964,3.702,3.79
Female,0.0,0.0,7.97,57.5,369.4,0.0751,0.214,2.865,3.51
Male,0.0,0.0,6.98,35.6,327.4,0.075,1.0,3.817,3.67
Female,0.0,0.0,7.6,33.7,247.1,0.1172,1.0,3.079,3.35
Female,0.0,0.0,7.22,42.2,415.7,0.0711,1.0,3.405,3.04
Female,0.0,1.0,6.7,53.9,544.1,0.1108,0.893,3.689,3.89
Male,0.0,0.0,6.7,44.0,372.1,0.1112,0.893,2.828,3.0
Female,0.0,0.0,6.19,51.3,294.2,0.1252,0.964,3.823,3.95
Female,0.0,0.0,5.39,23.5,340.6,0.0185,1.0,3.57,3.63
Female,0.0,0.0,7.14,33.8,292.1,0.0378,1.0,3.726,3.59
Female,1.0,0.0,7.43,31.2,258.6,0.0122,1.0,3.16,3.53
Female,0.0,0.0,5.82,64.9,423.5,1.1737,1.0,2.98,3.07
Female,0.0,0.0,7.26,35.6,308.6,0.1808,0.5,3.775,3.7
Female,0.0,0.0,7.49,49.8,315.5,0.2594,0.786,3.501,3.47
Female,0.0,0.0,6.47,79.4,456.5,0.5066,1.0,2.947,3.33
Female,0.0,1.0,8.11,64.9,328.4,0.0834,0.786,3.098,3.3
Female,0.0,0.0,7.29,27.4,347.6,0.0394,0.964,3.803,3.76
Male,0.0,0.0,6.11,71.1,380.7,0.1319,0.929,3.315,3.9
Male,0.0,0.0,7.78,59.6,275.1,0.214,0.786,3.428,3.28
Female,0.0,0.0,6.82,36.8,308.4,0.061,0.964,3.155,3.41
Male,0.0,0.0,8.89,10.4,291.5,0.0263,1.0,3.938,3.8
